date,cases,country
16.6.20,43,China
15.6.20,47,China
14.6.20,60,China
13.6.20,12,China
12.6.20,7,China
11.6.20,11,China
10.6.20,4,China
9.6.20,3,China
8.6.20,5,China
7.6.20,9,China
6.6.20,6,China
5.6.20,11,China
4.6.20,1,China
3.6.20,5,China
2.6.20,7,China
1.6.20,19,China
31.5.20,5,China
30.5.20,17,China
29.5.20,0,China
28.5.20,3,China
27.5.20,1,China
26.5.20,7,China
25.5.20,11,China
24.5.20,3,China
23.5.20,2,China
22.5.20,12,China
21.5.20,2,China
20.5.20,2,China
19.5.20,9,China
18.5.20,10,China
17.5.20,6,China
16.5.20,9,China
15.5.20,5,China
14.5.20,6,China
13.5.20,7,China
12.5.20,1,China
11.5.20,19,China
10.5.20,15,China
9.5.20,0,China
8.5.20,6,China
7.5.20,2,China
6.5.20,2,China
5.5.20,2,China
4.5.20,3,China
3.5.20,2,China
2.5.20,3,China
1.5.20,12,China
30.4.20,4,China
29.4.20,2,China
28.4.20,26,China
27.4.20,3,China
26.4.20,10,China
25.4.20,15,China
24.4.20,8,China
23.4.20,12,China
22.4.20,15,China
21.4.20,32,China
20.4.20,14,China
19.4.20,18,China
18.4.20,31,China
17.4.20,352,China
16.4.20,50,China
15.4.20,49,China
14.4.20,94,China
13.4.20,112,China
12.4.20,93,China
11.4.20,79,China
10.4.20,55,China
9.4.20,86,China
8.4.20,86,China
7.4.20,56,China
6.4.20,67,China
5.4.20,48,China
4.4.20,62,China
3.4.20,70,China
2.4.20,100,China
1.4.20,54,China
31.3.20,84,China
30.3.20,98,China
29.3.20,113,China
28.3.20,119,China
27.3.20,94,China
26.3.20,102,China
25.3.20,78,China
24.3.20,69,China
23.3.20,138,China
22.3.20,65,China
21.3.20,52,China
20.3.20,99,China
19.3.20,44,China
18.3.20,23,China
17.3.20,43,China
16.3.20,25,China
15.3.20,22,China
14.3.20,19,China
13.3.20,22,China
12.3.20,24,China
11.3.20,29,China
10.3.20,20,China
9.3.20,45,China
8.3.20,46,China
7.3.20,101,China
6.3.20,170,China
5.3.20,117,China
